temperature,humidity,rainfall,visibility,wind_speed,road_condition,traffic_density,current_speed,hour_of_day,recommended_speed,road_condition_code,traffic_density_code
37.9,75.8,1.87,4.09,16.3,wet,medium,54.7,17,42.9,1,1
27.2,85.8,0.14,5.42,18.7,dry,high,35.8,18,57.6,0,2
12.7,97.7,13.45,1.72,11.5,wet,medium,62.3,8,37.1,1,1
43.4,46.1,5.87,4.85,26.3,wet,medium,52.7,11,46.1,1,1
16.9,86.6,0.0,9.63,8.3,dry,medium,57.3,10,86.0,0,1
5.0,20.6,11.91,4.89,0.4,wet,low,48.6,19,54.0,1,0
0.7,73.5,7.33,0.2,11.7,wet,low,66.7,13,41.0,1,0
16.8,37.2,0.0,4.17,3.7,dry,low,36.6,15,62.9,0,0
22.9,82.7,0.19,7.07,19.6,dry,medium,47.7,7,70.6,0,1
3.1,60.1,2.71,4.34,21.7,wet,medium,53.0,4,45.1,1,1
-0.6,29.4,14.45,4.2,5.9,wet,low,81.0,10,49.8,1,0
8.6,27.7,13.59,5.52,0.0,wet,medium,63.7,6,55.1,1,1
32.9,77.6,0.07,8.07,31.0,dry,high,34.5,2,66.3,0,2
11.5,31.6,0.44,4.43,8.6,dry,medium,36.5,15,56.7,0,1
-3.9,96.7,0.0,8.94,23.4,dry,medium,113.3,6,81.3,0,1
8.3,46.5,8.05,1.16,13.6,wet,medium,76.3,11,36.2,1,1
0.4,73.8,0.0,10.0,16.3,dry,medium,45.0,7,82.2,0,1
13.5,86.4,0.25,5.29,24.3,dry,medium,62.7,2,61.0,0,1
3.2,23.6,0.0,4.17,16.7,dry,high,58.2,2,48.0,0,2
33.6,72.9,0.33,9.29,30.4,dry,low,58.7,17,83.8,0,0
36.6,32.3,0.0,10.0,3.9,dry,low,67.9,6,93.9,0,0
-4.3,38.4,0.03,9.93,0.0,dry,low,54.0,7,92.8,0,0
35.2,77.2,11.22,3.09,10.2,wet,low,75.1,23,45.0,1,0
41.2,22.0,2.78,3.53,4.2,ice,low,56.8,7,25.1,3,0
41.7,84.3,2.34,1.23,18.2,ice,medium,40.4,15,16.5,3,1
25.3,89.4,0.66,6.41,6.2,dry,medium,53.1,2,64.6,0,1
6.8,79.7,0.55,10.0,3.3,dry,low,61.8,11,100.3,0,0
41.0,33.2,0.0,7.6,1.3,dry,low,50.2,14,82.4,0,0
24.6,74.5,0.05,9.06,15.5,dry,low,40.6,17,89.6,0,0
7.5,65.7,0.12,5.71,3.9,dry,low,78.8,21,72.6,0,0
37.2,92.2,4.9,1.59,17.6,ice,low,49.2,15,19.8,3,0
